job_id,job_title,company,location,experience_level,employment_type,salary_inr,remote_ratio,skills,posted_date
JM26-1134,Business Analyst,DigitalCore,Bengaluru,Entry,Full-time,550000.0,0,"SQL, Excel, Power BI, Tableau, Communication",2026-06-20
JM26-0426,BI Analyst,DigitalCore,Chennai,Senior,Internship,420000.0,50,"Excel, Power BI, SQL, Tableau, Data Visualization",2026-01-20
JM26-0079,Data Engineer,CloudMatrix,Noida,Mid,Full-time,1090000.0,50,"SQL, AWS, Spark",2026-05-25
JM26-0804,AI Engineer,BrightData,Delhi NCR,Mid,Full-time,1230000.0,100,"Python, LLM, PyTorch",2026-03-16
JM26-0591,Analytics Engineer,QuantifyAI,Gurugram,Senior,Full-time,1610000.0,50,"SQL, ETL, Data Modeling",2026-06-07
JM26-0909,Data Scientist,InsightWorks,Hyderabad,Mid,Full-time,1390000.0,0,"SQL, Python, Statistics, Machine Learning",2026-05-10
JM26-0882,AI Engineer,Apex Technologies,Bengaluru,Entry,Full-time,1190000.0,50,"Machine Learning, Deep Learning, PyTorch, LLM, Python",2026-02-06
JM26-0544,Python Developer,NextGen Analytics,Ahmedabad,Entry,Full-time,490000.0,100,"Git, REST API, Python, SQL, Django",2026-02-15
JM26-1196,Data Scientist,FinEdge,Ahmedabad,Lead,Full-time,1470000.0,0,"SQL, Python, Statistics, Machine Learning, Pandas",2026-01-14
JM26-0931,Data Scientist,QuantifyAI,Bengaluru,Lead,Full-time,2440000.0,0,"Python, Machine Learning, SQL, Pandas, Statistics",2026-01-10
JM26-1190,AI Engineer,DataSphere,Bengaluru,Mid,Full-time,1560000.0,100,"LLM, Deep Learning, Python",2026-02-23
JM26-0815,Data Analyst,Apex Technologies,Pune,Entry,Full-time,510000.0,50,"Python, Power BI, Excel",2026-07-01
JM26-0045,BI Analyst,InnovateLabs,Hyderabad,Mid,Full-time,790000.0,50,"Tableau, Excel, Data Visualization, Power BI, SQL",2026-02-26
JM26-0175,Data Analyst,CloudMatrix,Ahmedabad,Mid,Contract,560000.0,50,"Pandas, Excel, Power BI, SQL, Python",2026-04-15
JM26-0124,Machine Learning Engineer,Vertex Systems,Gurugram,Mid,Full-time,1440000.0,100,"TensorFlow, Machine Learning, PyTorch",2026-08-21
JM26-0110,Analytics Engineer,QuantifyAI,Kolkata,Mid,Full-time,810000.0,0,"SQL, ETL, Python",2026-07-11
JM26-0899,Data Scientist,DigitalCore,Bengaluru,Mid,Contract,1110000.0,100,"Python, Machine Learning, SQL",2026-08-14
